39, State-gov, Bachelors, Never-married, White, Male, United-States
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, White, Male, United-States
38, Private, HS-grad, Divorced, White, Male, United-States
53, Private, 11th, Married-civ-spouse, Black, Male, United-States
28, Private, Bachelors, Married-civ-spouse, Black, Female, Cuba
37, Private, Masters, Married-civ-spouse, White, Female, United-States
49, Private, 9th, Married-spouse-absent, Black, Female, Jamaica
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
31, Private, Masters, Never-married, White, Female, United-States
42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
37, Private, Some-college, Married-civ-spouse, Black, Male, United-States
30, State-gov, Bachelors, Married-civ-spouse, Asian-Pac-Islander, Male, India
23, Private, Bachelors, Never-married, White, Female, United-States
32, Private, Assoc-acdm, Never-married, Black, Male, United-States
34, Private, 7th-8th, Married-civ-spouse, Amer-Indian-Eskimo, Male, Mexico
25, Self-emp-not-inc, HS-grad, Never-married, White, Male, United-States
32, Private, HS-grad, Never-married, White, Male, United-States
38, Private, 11th, Married-civ-spouse, White, Male, United-States
43, Self-emp-not-inc, Masters, Divorced, White, Female, United-States
40, Private, Doctorate, Married-civ-spouse, White, Male, United-States
54, Private, HS-grad, Separated, Black, Female, United-States
35, Federal-gov, 9th, Married-civ-spouse, Black, Male, United-States
43, Private, 11th, Married-civ-spouse, White, Male, United-States
59, Private, HS-grad, Divorced, White, Female, United-States
56, Local-gov, Bachelors, Married-civ-spouse, White, Male, United-States
19, Private, HS-grad, Never-married, White, Male, United-States
39, Private, HS-grad, Divorced, White, Male, United-States
49, Private, HS-grad, Married-civ-spouse, White, Male, United-States
23, Local-gov, Assoc-acdm, Never-married, White, Male, United-States
20, Private, Some-college, Never-married, Black, Male, United-States
45, Private, Bachelors, Divorced, White, Male, United-States
30, Federal-gov, Some-college, Married-civ-spouse, White, Male, United-States
22, State-gov, Some-college, Married-civ-spouse, Black, Male, United-States
48, Private, 11th, Never-married, White, Male, Puerto-Rico
21, Private, Some-college, Never-married, White, Male, United-States
19, Private, HS-grad, Married-AF-spouse, White, Female, United-States
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, White, Male, United-States
31, Private, 9th, Married-civ-spouse, White, Male, United-States
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, White, Male, United-States
24, Private, Bachelors, Married-civ-spouse, White, Male, United-States
49, Private, HS-grad, Separated, White, Female, United-States
25, Private, HS-grad, Never-married, White, Male, United-States
57, Federal-gov, Bachelors, Married-civ-spouse, Black, Male, United-States
53, Private, HS-grad, Married-civ-spouse, White, Male, United-States
44, Private, Masters, Divorced, White, Female, United-States
41, State-gov, Assoc-voc, Married-civ-spouse, White, Male, United-States
29, Private, Assoc-voc, Never-married, White, Male, United-States
25, Private, Some-college, Married-civ-spouse, Other, Female, United-States
47, Private, Prof-school, Married-civ-spouse, White, Female, Honduras
50, Federal-gov, Bachelors, Divorced, White, Male, United-States
47, Self-emp-inc, HS-grad, Divorced, White, Male, United-States
43, Private, Some-college, Married-civ-spouse, White, Male, United-States
46, Private, 5th-6th, Married-civ-spouse, White, Male, Mexico
35, Private, Assoc-voc, Married-civ-spouse, White, Male, Puerto-Rico
41, Private, HS-grad, Married-civ-spouse, White, Male, United-States
30, Private, HS-grad, Married-civ-spouse, White, Male, United-States
30, Private, Bachelors, Married-civ-spouse, White, Male, United-States
48, Private, HS-grad, Married-civ-spouse, White, Male, United-States
42, Private, Doctorate, Married-civ-spouse, White, Male, United-States
29, Private, Some-college, Divorced, White, Male, United-States
36, Private, HS-grad, Married-civ-spouse, White, Male, United-States
28, Private, Some-college, Divorced, White, Female, United-States
53, Private, HS-grad, Married-civ-spouse, White, Female, United-States
49, Self-emp-inc, Some-college, Married-civ-spouse, White, Male, United-States
19, Private, Some-college, Never-married, White, Male, United-States
31, Private, Bachelors, Separated, Black, Female, United-States
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, White, Male, United-States
23, Private, Some-college, Never-married, White, Male, United-States
79, Private, Some-college, Married-civ-spouse, White, Male, United-States
27, Private, HS-grad, Never-married, White, Male, Mexico
40, Private, Assoc-acdm, Married-civ-spouse, White, Male, United-States
18, Private, 11th, Never-married, White, Female, United-States
31, Local-gov, 7th-8th, Married-civ-spouse, White, Male, United-States
18, Private, HS-grad, Never-married, White, Male, United-States
52, Private, Bachelors, Married-civ-spouse, White, Male, Cuba
46, Private, HS-grad, Married-civ-spouse, White, Female, United-States
59, Private, HS-grad, Married-civ-spouse, White, Male, United-States
44, Private, HS-grad, Divorced, White, Female, United-States
53, Private, HS-grad, Divorced, White, Female, United-States
49, Local-gov, HS-grad, Married-civ-spouse, White, Male, United-States
33, Private, Masters, Married-civ-spouse, White, Male, United-States
30, Private, 9th, Never-married, White, Male, United-States
43, Federal-gov, Doctorate, Never-married, White, Female, United-States
57, Private, Assoc-voc, Married-civ-spouse, White, Male, United-States
37, Private, Some-college, Divorced, White, Female, United-States
28, Private, Some-college, Divorced, Black, Female, United-States
34, Local-gov, Bachelors, Married-civ-spouse, White, Male, United-States
29, Local-gov, Some-college, Never-married, White, Male, United-States
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, White, Male, United-States
37, Private, Some-college, Married-civ-spouse, White, Male, United-States
48, Private, Assoc-acdm, Divorced, White, Female, England
32, Federal-gov, HS-grad, Never-married, Black, Male, United-States
76, Private, Masters, Married-civ-spouse, White, Male, United-States
44, Private, Bachelors, Married-civ-spouse, White, Male, United-States
47, Self-emp-not-inc, Masters, Never-married, White, Female, United-States
20, Private, Some-college, Never-married, White, Female, United-States
29, Private, HS-grad, Never-married, White, Male, United-States
32, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, United-States
30, Private, 11th, Never-married, White, Male, United-States
31, Local-gov, HS-grad, Never-married, White, Female, United-States
42, Private, HS-grad, Married-civ-spouse, White, Male, United-States
