,age,workclass,education,marital-status,race,sex,native-country
740,32, Private, HS-grad, Married-civ-spouse, White, Male, United-States
745,43, Private, Some-college, Divorced, White, Male, United-States
757,32, Private, HS-grad, Married-civ-spouse, White, Male, United-States
766,55, Private, HS-grad, Married-civ-spouse, White, Male, United-States
771,17, Private, 11th, Never-married, White, Male, United-States
775,55, Private, HS-grad, Married-civ-spouse, White, Male, United-States
776,43, Private, Some-college, Divorced, White, Male, United-States
798,17, Private, 11th, Never-married, White, Male, United-States
709,31-32, Private, HS-grad, Never-married, White, Male, United-States
729,59-60, Private, HS-grad, Married-civ-spouse, White, Male, United-States
739,17-18, Private, 11th, Never-married, White, Female, United-States
780,31-32, Private, HS-grad, Never-married, White, Male, United-States
788,59-60, Private, HS-grad, Married-civ-spouse, White, Male, United-States
791,17-18, Private, 11th, Never-married, White, Female, United-States
710,23-26, Private, Some-college, Never-married, White, Female, United-States
732,23-26, Private, HS-grad, Never-married, Black, Male, United-States
736,23-26, Private, HS-grad, Never-married, Black, Male, United-States
796,23-26, Private, Some-college, Never-married, White, Female, United-States
731,59-66, Private, HS-grad, Married-civ-spouse, White, Male, United-States
746,19-26, Private, Some-college, Never-married, White, Male, United-States
750,51-58, Private, Some-college, Married-civ-spouse, White, Male, United-States
751,59-66, Private, HS-grad, Married-civ-spouse, White, Male, United-States
764,19-26, Private, Some-college, Never-married, White, Male, United-States
772,35-42, Private, Some-college, Married-civ-spouse, White, Male, United-States
773,51-58, Private, Some-college, Married-civ-spouse, White, Male, United-States
778,35-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
779,35-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
799,35-42, Private, Some-college, Married-civ-spouse, White, Male, United-States
718,43-58, Private, Some-college, Never-married, White, Male, United-States
719,27-42, Private, Assoc-voc, Never-married, White, Female, United-States
724,59-74, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
744,27-42, Private, HS-grad, Separated, White, Female, United-States
747,11-26, Private, 10th, Never-married, White, Male, United-States
749,27-42, Private, Assoc-voc, Never-married, White, Female, United-States
760,27-42, Private, HS-grad, Separated, White, Female, United-States
761,43-58, Private, Some-college, Never-married, White, Male, United-States
765,59-74, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
797,11-26, Private, 10th, Never-married, White, Male, United-States
700,11-58, Private, HS-grad, Never-married, White, Female, United-States
704,11-58, Private, Bachelors, Never-married, White, Male, United-States
712,11-58, Private, HS-grad, Divorced, White, Male, United-States
714,11-58, Private, HS-grad, Never-married, White, Male, United-States
717,11-58, Private, Bachelors, Married-civ-spouse, White, Male, United-States
720,11-58, Private, Assoc-voc, Married-civ-spouse, White, Male, United-States
726,11-58, Private, Assoc-voc, Married-civ-spouse, White, Male, United-States
728,11-58, Private, HS-grad, Never-married, White, Female, United-States
741,11-58, Private, Bachelors, Married-civ-spouse, White, Male, United-States
743,11-58, Private, HS-grad, Never-married, White, Male, United-States
752,11-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
753,11-58, Private, Assoc-voc, Never-married, White, Male, United-States
755,11-58, Private, Assoc-voc, Never-married, White, Male, United-States
767,11-58, Private, HS-grad, Divorced, White, Male, United-States
769,11-58, Private, Bachelors, Never-married, White, Male, United-States
784,11-58, Private, Bachelors, Never-married, White, Female, United-States
786,11-58, Private, HS-grad, Never-married, White, Male, United-States
789,11-58, Private, Bachelors, Never-married, White, Female, United-States
790,11-58, Private, Bachelors, Never-married, White, Female, United-States
795,11-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
756,11-90, Private, HS-grad, Widowed, White, Female, United-States
758,11-90, Private, HS-grad, Widowed, White, Male, United-States
759,11-90, Private, HS-grad, Widowed, White, Female, United-States
770,11-90, Private, HS-grad, Widowed, White, Male, United-States
716,35-42, Private, US, Divorced, White, Female, United-States
768,35-42, Private, US, Divorced, White, Female, United-States
721,35-42, employed, US, Married-civ-spouse, White, Male, United-States
727,35-42, employed, US, Married-civ-spouse, White, Male, United-States
742,11-90, employed, US, Married-civ-spouse, White, Male, United-States
