,age,workclass,education,marital-status,race,sex,native-country
947,45, Private, HS-grad, Married-civ-spouse, White, Male, United-States
965,61, Private, HS-grad, Married-civ-spouse, White, Male, United-States
967,30, Private, Bachelors, Married-civ-spouse, White, Male, United-States
974,45, Private, HS-grad, Married-civ-spouse, White, Male, United-States
976,61, Private, HS-grad, Married-civ-spouse, White, Male, United-States
983,30, Private, Bachelors, Married-civ-spouse, White, Male, United-States
934,49-50, Private, HS-grad, Married-civ-spouse, White, Male, United-States
986,37-38, Private, HS-grad, Married-civ-spouse, White, Male, United-States
987,37-38, Private, HS-grad, Married-civ-spouse, White, Male, United-States
993,49-50, Private, HS-grad, Married-civ-spouse, White, Male, United-States
916,35-38, Private, HS-grad, Never-married, White, Male, United-States
920,39-42, Private, Some-college, Married-civ-spouse, White, Male, United-States
935,39-42, Private, Some-college, Married-civ-spouse, White, Male, United-States
942,47-50, Local-gov, Masters, Married-civ-spouse, White, Male, United-States
944,31-34, Private, Some-college, Married-civ-spouse, White, Male, United-States
954,35-38, Private, HS-grad, Never-married, White, Male, United-States
973,47-50, Local-gov, Masters, Married-civ-spouse, White, Male, United-States
999,31-34, Private, Some-college, Married-civ-spouse, White, Male, United-States
914,43-50, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
925,19-26, Local-gov, Bachelors, Never-married, White, Female, United-States
930,51-58, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
960,19-26, Private, Some-college, Never-married, White, Female, United-States
963,19-26, Private, Some-college, Never-married, White, Female, United-States
975,43-50, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
985,19-26, Local-gov, Bachelors, Never-married, White, Female, United-States
997,51-58, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
908,27-42, Private, HS-grad, Never-married, Black, Female, United-States
909,43-58, Private, HS-grad, Divorced, White, Female, United-States
915,43-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
917,43-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
927,43-58, Private, Bachelors, Married-civ-spouse, White, Male, United-States
932,43-58, Private, HS-grad, Divorced, White, Female, United-States
952,27-42, Private, Some-college, Never-married, White, Male, United-States
953,27-42, Private, HS-grad, Never-married, Black, Female, United-States
959,43-58, Private, Bachelors, Married-civ-spouse, White, Male, United-States
964,27-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
970,27-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
980,27-42, Private, Some-college, Never-married, White, Male, United-States
902,11-58, Private, HS-grad, Divorced, White, Male, United-States
910,11-58, Private, HS-grad, Divorced, White, Male, United-States
940,11-58, Private, HS-grad, Divorced, White, Male, United-States
962,11-58, Private, Some-college, Married-civ-spouse, White, Male, United-States
979,11-58, Private, Some-college, Married-civ-spouse, White, Male, United-States
903,11-90, Private, HS-grad, Never-married, White, Female, United-States
907,11-90, Private, Assoc-voc, Divorced, White, Female, United-States
956,11-90, Private, HS-grad, Never-married, White, Female, United-States
972,11-90, Private, Assoc-voc, Divorced, White, Female, United-States
911,51, Private, US, Widowed, White, Female, United-States
921,39, Self-emp-inc, US, Married-civ-spouse, White, Male, United-States
929,39, Self-emp-inc, US, Married-civ-spouse, White, Male, United-States
939,51, Private, US, Widowed, White, Female, United-States
981,35-36, Private, education, Married-civ-spouse, White, Male, United-States
982,35-36, Private, education, Married-civ-spouse, White, Male, United-States
923,47-50, Private, education, Married-civ-spouse, White, Male, United-States
937,47-50, Private, education, Married-civ-spouse, White, Male, United-States
938,31-34, Private, Assoc-voc, marital_status, White, Female, United-States
950,31-34, Private, Assoc-voc, marital_status, White, Female, United-States
913,35-42, Private, GS, Married-civ-spouse, White, Male, United-States
