,age,workclass,education,marital-status,race,sex,native-country
411,44, Private, Some-college, Married-civ-spouse, White, Male, United-States
413,20, Private, Some-college, Never-married, White, Male, United-States
458,20, Private, Some-college, Never-married, White, Male, United-States
496,44, Private, Some-college, Married-civ-spouse, White, Male, United-States
427,31-34, Private, Bachelors, Married-civ-spouse, White, Male, United-States
429,23-26, Private, Bachelors, Never-married, White, Female, United-States
437,27-30, Private, HS-grad, Never-married, White, Male, United-States
441,19-22, Private, Some-college, Never-married, White, Male, United-States
449,59-62, Local-gov, HS-grad, Married-civ-spouse, White, Male, United-States
457,39-42, Private, HS-grad, Divorced, White, Female, United-States
462,59-62, Local-gov, HS-grad, Married-civ-spouse, White, Male, United-States
465,23-26, Private, Bachelors, Never-married, White, Female, United-States
467,19-22, Private, Some-college, Never-married, White, Male, United-States
470,39-42, Private, HS-grad, Divorced, White, Female, United-States
476,31-34, Private, Bachelors, Married-civ-spouse, White, Male, United-States
499,27-30, Private, HS-grad, Never-married, White, Male, United-States
408,27-34, Private, Bachelors, Never-married, White, Male, United-States
416,19-26, Private, HS-grad, Married-civ-spouse, White, Male, United-States
424,19-26, Private, HS-grad, Married-civ-spouse, White, Male, United-States
451,35-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
456,27-34, Private, Bachelors, Never-married, White, Male, United-States
483,35-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
401,27-42, Private, Assoc-acdm, Married-civ-spouse, White, Female, United-States
422,27-42, Private, HS-grad, Married-civ-spouse, White, Female, United-States
430,27-42, Private, HS-grad, Married-civ-spouse, White, Female, United-States
432,27-42, Private, Some-college, Married-civ-spouse, White, Male, United-States
463,43-58, Private, Some-college, Married-civ-spouse, White, Male, United-States
468,43-58, Private, Some-college, Married-civ-spouse, White, Male, United-States
473,27-42, Private, Some-college, Married-civ-spouse, White, Male, United-States
490,27-42, Private, Assoc-acdm, Married-civ-spouse, White, Female, United-States
403,11-58, Private, Masters, Married-civ-spouse, White, Male, United-States
409,11-58, Private, HS-grad, Divorced, White, Female, United-States
431,11-58, Private, HS-grad, Divorced, White, Male, United-States
433,11-58, Private, Masters, Married-civ-spouse, White, Male, United-States
436,11-58, Private, HS-grad, Never-married, White, Male, United-States
443,11-58, Private, HS-grad, Never-married, White, Female, United-States
452,11-58, Private, HS-grad, Never-married, White, Female, United-States
455,11-58, Private, HS-grad, Divorced, White, Female, United-States
460,11-58, Private, Some-college, Never-married, White, Female, United-States
474,11-58, Private, HS-grad, Divorced, White, Male, United-States
488,11-58, Private, HS-grad, Never-married, White, Male, United-States
