,age,workclass,education,marital-status,race,sex,native-country
222,23-24, Private, HS-grad, Never-married, White, Male, United-States
255,43-44, Private, Some-college, Married-civ-spouse, White, Male, United-States
272,21-22, Private, Some-college, Never-married, White, Male, United-States
276,23-24, Private, HS-grad, Never-married, White, Male, United-States
291,21-22, Private, Some-college, Never-married, White, Male, United-States
298,43-44, Private, Some-college, Married-civ-spouse, White, Male, United-States
215,23-26, Private, Some-college, Never-married, White, Male, United-States
227,55-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
246,63-66, Private, HS-grad, Married-civ-spouse, White, Male, United-States
274,63-66, Private, HS-grad, Married-civ-spouse, White, Male, United-States
277,35-38, Private, HS-grad, Divorced, White, Male, United-States
281,55-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
292,23-26, Private, Some-college, Never-married, White, Male, United-States
299,35-38, Private, HS-grad, Divorced, White, Male, United-States
203,43-50, Private, Bachelors, Married-civ-spouse, White, Male, United-States
223,35-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
229,35-42, Private, Assoc-acdm, Married-civ-spouse, White, Male, United-States
253,27-34, Private, HS-grad, Divorced, White, Female, United-States
269,35-42, Private, Bachelors, Married-civ-spouse, White, Male, United-States
270,27-34, Private, HS-grad, Divorced, White, Female, United-States
278,43-50, Private, Bachelors, Married-civ-spouse, White, Male, United-States
286,35-42, Private, Assoc-acdm, Married-civ-spouse, White, Male, United-States
207,43-58, Private, HS-grad, Married-civ-spouse, Black, Male, United-States
209,11-26, Private, HS-grad, Never-married, White, Female, United-States
236,11-26, Private, HS-grad, Never-married, White, Female, United-States
254,43-58, Private, HS-grad, Married-civ-spouse, Black, Male, United-States
256,27-42, Private, Some-college, Never-married, White, Female, United-States
295,27-42, Private, Some-college, Never-married, White, Female, United-States
226,11-58, Private, Some-college, Divorced, White, Male, United-States
241,11-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
247,11-58, Private, Bachelors, Never-married, White, Female, United-States
266,11-58, Private, Some-college, Divorced, White, Male, United-States
267,11-58, Private, Bachelors, Never-married, White, Female, United-States
280,11-58, Private, HS-grad, Married-civ-spouse, White, Male, United-States
212,59-90, Private, US, Divorced, White, Female, United-States
240,11-58, Private, US, Divorced, White, Female, United-States
242,17, Private, HS, Never-married, White, Male, United-States
243,59-90, Private, US, Married-civ-spouse, White, Male, United-States
249,59-90, Private, US, Married-civ-spouse, White, Male, United-States
250,17, Private, HS, Never-married, White, Male, United-States
262,59-90, Private, US, Divorced, White, Female, United-States
283,11-58, Private, US, Divorced, White, Female, United-States
210,11-90, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
297,11-90, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, United-States
284,26, Private, education, Never-married, White, Male, United-States
288,26, Private, education, Never-married, White, Male, United-States
230,41, Private, Prof-school, Married-civ-spouse, White, Human, United-States
265,41, Private, Prof-school, Married-civ-spouse, White, Human, United-States
228,11-58, Private, US, Never-married, White, Female, United-States
257,11-58, Private, US, Never-married, White, Female, United-States
260,41-42, workclass, Some-college, Married-civ-spouse, White, Male, United-States
287,41-42, workclass, Some-college, Married-civ-spouse, White, Male, United-States
252,27-30, Local-gov, education, Never-married, White, Male, United-States
271,27-30, Local-gov, education, Never-married, White, Male, United-States
